Nombre;Verso;Autor
Alturas de Machupichu;"Dame la mano desde la profunda

zona de tu dolor diseminado.

No volverás del fondo de las rocas.

No volverás del tiempo subterráneo.
.

No volverán tus ojos taladrados.";Pablo Neruda
Arte poética;"Mirar el río hecho de tiempo y agua
y recordar que el tiempo es otro río,
saber que nos perdemos como el río
y que los rostros pasan como el agua.";Jorge Luis Borges
Efímera Vulgata;"El reloj -todavía masculino- marca la hora
en que esta cenicienta debe atrapar a su príncipe
-aparición invertida que lo haga caer, como en una trampa, en lo que no es-
los pies grandes en los zapatos estrechos
Pues también el príncipe miserablemente, a veces, deambula
y otras, con ferocidad
detrás de un phantasma, y no es (¡ay!) casi nunca una cabeza coronada";Enrique Lihn
Nombres;"Cuando nos cambiaron los nombres
Teníamos nombres de aves, de animales y de piedras,
nombres de árboles y de flores
del territorio donde nacimos,
teníamos nombres de agua, de barro y de nieve
los mismos nombres de los abuelos se quedaban heredados en sus hijos y en sus nietos.
vamos a preguntar por el nombre que nos pertenece";María Isabel Lara